Member_PortId,MemberNumber,PortfolioNumber,Description,ExSourceCode,ExPortfolioName,EqCompId,EqCompTyp,MemberStatId,Compliancedate,DataContent,MISReport,OnlineSuppressed,Deleted,CLoadId,ULoadId,ReviewThresholdCount,ReviewThresholdPC,UProcId,Enabled,APACSupplier,TPDValidationSettingId
87,6072,25,Wescot Goldfish,516,"WESCOT SPV LIMITED            ",NULL,NULL,NULL,NULL,M,1,0,0,856,93011,NULL,NULL,94007,1,0,1
88,1249,18,"Hitachi Capital Consumer Finance                  ",091,"Hitachi Credit (UK) plc       ",NULL,NULL,NULL,NULL,M,1,0,0,856,821166,NULL,NULL,821166,1,0,1
89,1453,10,Swift Advances - Mortgages,NULL,NULL,73390038,MS,NULL,NULL,M,1,0,1,856,69886,NULL,NULL,841273,1,0,1
91,1937,10,BOS Credit Cards,071,"BANK OF SCOTLAND CREDIT CARDS ",NULL,NULL,NULL,NULL,M,1,0,0,856,244852,NULL,NULL,244852,1,1,1
92,6495,12,HBOS - NCA,105,"BANK OF SCOTLAND              ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
93,8269,14,Capital Bank plc - Loans,047,"CAPITAL BANK                  ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
94,8469,41,Sainsbury Bank Ltd,429,"SAINSBURY'S BANK LIMITED      ",NULL,NULL,NULL,NULL,M,1,0,0,856,244852,NULL,NULL,244852,1,1,1
95,1594,46,Capital Bank - Distinct Mortgages Ltd,024,"DISTINCT MORTGAGES LTD        ",NULL,NULL,NULL,NULL,M,0,0,1,856,25866,NULL,NULL,665854,1,0,1
96,8469,59,Sainsbury's Bank - Mortgages,406,"SAINSBURYS                    ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
97,7165,92,Capital Bank Mortgages Ltd,003,"CAPITAL BANK MORTGAGES LTD    ",NULL,NULL,NULL,NULL,M,0,0,1,856,25866,NULL,NULL,665854,1,0,1
98,2512,21,"HSBC Finance (1)                                  ",065,"HFC BANK CORE                 ",NULL,NULL,NULL,NULL,M,1,0,0,856,1162312,NULL,NULL,1162312,1,0,1
99,6722,45,"HSBC Finance (2)                                  ",303,"STERLING CREDIT LTD           ",NULL,NULL,NULL,NULL,M,1,0,0,856,1162334,NULL,NULL,1162334,1,0,1
100,2512,78,"HSBC Finance (4)                                  ",275,"HFC CREDIT CARD               ",NULL,NULL,NULL,NULL,M,1,0,0,856,1162339,NULL,NULL,1162339,1,0,1
101,5632,89,"HSBC Finance (3)                                  ",445,ENDEAVOUR PERSONAL FINANCE LTD,NULL,NULL,NULL,NULL,M,1,0,0,856,1162336,NULL,NULL,1162336,1,0,1
102,2658,12,Leeds Building Society,NULL,NULL,14400009,BS,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,54101,1,0,1
103,3059,86,Amber Credit Ltd,NULL,NULL,49130001,FN,NULL,NULL,M,1,1,1,856,276293,NULL,NULL,665854,1,0,1
104,3091,20,"MotoNovo Finance                                  ",NULL,NULL,52220378,FN,NULL,NULL,M,1,0,0,856,1031281,NULL,NULL,1031281,1,0,1
105,3269,26,Skipton Building Society -  Mortgages,353,"SKIPTON B S                   ",NULL,NULL,NULL,NULL,M,1,0,0,856,981438,NULL,NULL,981438,1,0,1
106,6237,16,First Direct,211,"FIRST DIRECT                  ",NULL,NULL,NULL,NULL,D,1,0,1,856,69886,NULL,NULL,665854,1,0,1
107,3815,58,"HSBC Bank - Branch Banking                        ",085,"HSBC Bank PLC                 ",NULL,NULL,NULL,NULL,M,1,0,0,856,497564,NULL,NULL,497564,1,0,1
108,3917,82,NROCK ASSET MANAGEMENT - MTGES,277,NROCK ASSET MANAGEMENT - MTGES,NULL,NULL,NULL,NULL,M,1,0,0,856,439608,NULL,NULL,439608,1,0,1
109,3971,46,BMW Financial Services Ltd,028,"BMW FINANCIAL SERVICES LTD    ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
110,4011,97,Haydock Finance Ltd,131,"Haydock Finance Limited       ",NULL,NULL,NULL,NULL,M,1,0,0,856,981440,NULL,NULL,981440,1,0,1
111,4123,26,Halifax Personal Loans,270,"HALIFAX PERSONAL LOANS        ",NULL,NULL,NULL,NULL,M,1,0,0,856,25440,NULL,NULL,63891,1,0,1
112,4123,35,Halifax Mortgages,268,"HALIFAX MORTGAGES             ",NULL,NULL,NULL,NULL,M,1,0,0,856,180460,NULL,NULL,63891,1,0,1
113,4192,28,Scotwest Credit Union,290,"Scotwest Credit Union         ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,158142,1,0,1
114,4389,46,Adam & Sons Finance Limited,NULL,NULL,60045112,FN,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,38996,1,0,1
118,4807,35,Barclaycard,063,"BARCLAYCARD                   ",NULL,NULL,NULL,NULL,M,1,0,0,25264,664527,NULL,NULL,664527,1,1,1
119,4826,13,GMAC (EDS),NULL,NULL,47080013,FS,NULL,NULL,M,1,1,1,856,310315,NULL,NULL,310315,1,0,1
120,4826,72,"Paratus AMC Limited                               ",138,"Paratus AMC Ltd               ",NULL,NULL,NULL,NULL,M,1,0,0,856,984056,NULL,NULL,984056,1,0,1
134,5158,28,Bank Of Ireland Mortgages,289,"BANK OF IRELAND MORTGAGES     ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
135,5193,51,Barclays Bank Defaults,NULL,NULL,10230047,BK,NULL,NULL,D,1,0,1,856,1083630,NULL,NULL,1083630,1,0,1
136,5197,07,Arcadia Budget,053,"GE CAPITAL PA BUDGET          ",NULL,NULL,NULL,NULL,M,1,0,0,856,333028,NULL,NULL,333028,1,1,1
137,3781,13,Santander Cards UK (Debenhams),033,"GE CAPITAL DEBENHAMS          ",NULL,NULL,NULL,NULL,M,1,0,0,856,333115,NULL,NULL,246583,1,1,1
138,3783,27,Santander Cards UK (HOF),042,"GE CAPITAL HOUSE OF FRASER    ",NULL,NULL,NULL,NULL,M,1,0,0,856,333115,NULL,NULL,246583,1,1,1
139,3782,34,Santander Cards UK (Harrods),075,"GE CAPITAL HARRODS            ",NULL,NULL,NULL,NULL,M,1,0,0,856,333115,NULL,NULL,246583,1,1,1
141,5197,49,Loans,106,NATIONWDE CR CORP/1ST PERSONAL,NULL,NULL,NULL,NULL,M,1,0,0,856,333028,NULL,NULL,333028,1,1,1
142,5197,56,Arcadia Option,078,"GE CAPITAL PA OPTION          ",NULL,NULL,NULL,NULL,M,1,0,0,856,333028,NULL,NULL,333028,1,1,1
143,5197,68,MCD (Welbeck),049,"GE CAPITAL WELBECK            ",NULL,NULL,NULL,NULL,M,1,0,0,856,333028,NULL,NULL,333028,1,1,1
144,5197,74,GE Capital Bank Ltd (Dixons Stores Group),049,"GE CAPITAL WELBECK            ",NULL,NULL,NULL,NULL,M,1,1,1,856,234744,NULL,NULL,665854,1,0,1
145,5437,01,Barclays Bank PLC (Woolwich) Current Account,272,"BARCLAYS WOOLWICH CURRENT A/C ",NULL,NULL,NULL,NULL,M,1,0,0,856,25926,NULL,NULL,63891,1,0,1
146,5437,02,Barclays Bank PLC (Woolwich) Mortgage,259,"BARCLAYS WOOLWICH MORTGAGE    ",NULL,NULL,NULL,NULL,M,1,0,0,856,25926,NULL,NULL,63891,1,0,1
147,5437,03,Barclays Bank PLC (Woolwich) Personal Loan,066,"Barclays Woolwich Loan        ",NULL,NULL,NULL,NULL,M,1,0,0,856,25926,NULL,NULL,63891,1,0,1
148,5437,04,Barclays Bank PLC (Woolwich) Personal Loans (LPF),093,"Barclays Woolwich LPF Loan    ",NULL,NULL,NULL,NULL,M,0,1,1,856,26024,NULL,NULL,120625,1,0,1
149,5437,05,Barclays Bank PLC (Woolwich) Personal Loans (LPF),086,"Barclays Woolwich LPF Loan    ",NULL,NULL,NULL,NULL,M,1,0,0,856,26024,NULL,NULL,63891,1,0,1
150,5972,18,Mortgage Trust Ltd - Defaults,126,"Mortgage Trust                ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
151,2384,46,The Mortgage Corporation,345,"The Mortgage Corporation      ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
152,2381,19,Credit Agricole,179,MORTGAGE ASSET MANAGEMENT LIMI,NULL,NULL,NULL,NULL,M,1,1,1,856,234639,NULL,NULL,665854,1,0,1
153,6054,38,Birmingham Midshires Mortgages,295,"BIRMINGHAM MIDSHIRES          ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
154,8165,55,HMSL,156,"HMSL                          ",NULL,NULL,NULL,NULL,M,1,1,1,856,234802,NULL,NULL,665854,1,0,1
155,1195,74,Western Trust & Savings,415,"WESTERN TRUST & SAVINGS       ",NULL,NULL,NULL,NULL,M,1,1,1,856,234609,NULL,NULL,665854,1,0,1
156,6309,45,The Mortgage Works 2,NULL,NULL,80170600,BS,NULL,NULL,M,1,0,0,856,303286,NULL,NULL,303286,1,0,1
159,6815,15,"Lloyds Bank Card Services                         ",233,"LTSBCARDS                     ",NULL,NULL,NULL,NULL,M,1,0,0,856,1191352,NULL,NULL,1191352,1,1,1
160,6815,39,Lloyds TSB Card Services - Defaults,100,"LLOYDS TSB CARD SERVICES      ",NULL,NULL,NULL,NULL,D,1,1,1,856,234770,NULL,NULL,665854,1,0,1
161,6815,91,"Lloyds Bank Current Accounts                      ",054,"LTSBCACC                      ",NULL,NULL,NULL,NULL,M,1,0,0,856,1191354,NULL,NULL,1191354,1,0,1
162,7153,83,Daimler Chrysler Finance,NULL,NULL,47450005,FN,NULL,NULL,M,1,1,1,856,497349,NULL,NULL,665854,1,0,1
163,7194,43,Capital One Credit Cards,390,"CAPITAL ONE                   ",NULL,NULL,NULL,NULL,M,1,0,0,856,244852,NULL,NULL,244852,1,1,1
164,7249,23,Nationwide Building Society - Current Accounts,132,"Nationwide Bld. Soc.          ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,39581,1,0,1
165,7249,39,Nationwide Building Society - Credit Cards,413,"NATIONWIDE                    ",NULL,NULL,NULL,NULL,M,1,0,0,856,249905,NULL,NULL,249905,1,1,1
166,7249,48,Nationwide Building Society - Mortgages,253,"NATIONWIDE BUILDING SOCIETY   ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,39245,1,0,1
167,7391,38,Coventry Building Society Mortgages,NULL,NULL,73111337,BS,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
168,7652,53,"EE Ltd - Trading as T-Mobile                      ",NULL,NULL,47220001,CS,NULL,NULL,M,1,0,0,856,1186158,NULL,NULL,1186158,1,0,1
169,7821,52,RCI Financial Services Ltd,NULL,NULL,99999999,FS,NULL,NULL,M,1,0,0,856,799972,NULL,NULL,799972,1,0,1
170,8029,25,Marks And Spencer - Credit Cards,428,"M & S MONEY CREDIT CARD       ",NULL,NULL,NULL,NULL,M,1,0,0,856,314072,NULL,NULL,388153,1,1,1
171,8029,72,Marks And Spencer,061,"M & S FINANCIAL SERVICES      ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,24970,1,0,1
172,8053,37,Norwich & Peterborough Building Society,NULL,NULL,13831046,BS,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
173,8229,05,PSA Finance,408,"FNMF PFG2                     ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
177,5637,39,Lombard Motor & PSA Finance,162,"LOMBARD MOTOR & PSA FINANCE   ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
178,8067,46,GE Money Consumer Lending Limited,NULL,NULL,11240112,FN,NULL,NULL,M,1,0,0,856,853164,NULL,NULL,358900,1,0,1
180,6532,81,First National Motor Finance,191,"FIRST NATIONAL MOTOR FINANCE  ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
181,4639,85,First National Tricity Finance - The Edge,314,"EDGE                          ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
182,2235,94,First National Wagon Finance,377,"FIRST NATIONAL WAGON FINANCE  ",NULL,NULL,NULL,NULL,M,1,1,1,856,310315,NULL,NULL,665854,1,0,1
183,8273,02,The Co-operative Bank - Visa,039,"THE CO-OPERATIVE BANK DFS     ",NULL,NULL,NULL,NULL,M,1,0,0,856,821253,NULL,NULL,821253,1,1,1
184,8273,40,The Co-operative Bank - Domestic Banking,151,"THE CO-OPERATIVE BANK DOM BNK ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,274463,1,0,1
185,8273,54,The Co-operative Bank - Fixed-Term Personal Loans,416,CO-OP BANK - FIXED TERM P/LOAN,NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,39245,1,0,1
186,8273,61,The Co-operative Bank - Ventura,333,"Co-op DILOAN                  ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,39245,1,0,1
187,8273,78,The Co-operative Bank - Mortgages,354,"CBMS                          ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,39245,1,0,1
188,8395,62,Standard Life Bank - Mortgages,NULL,NULL,80190824,BF,NULL,NULL,M,1,1,1,856,979860,NULL,NULL,979860,1,0,1
189,8423,14,Yorkshire Building Society,NULL,NULL,24956299,BS,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,39245,1,0,1
190,8492,76,Shire Leasing,287,"OYSTER BAY SYSTEMS            ",NULL,NULL,NULL,NULL,M,1,1,1,856,234808,NULL,NULL,665854,1,0,1
191,5539,06,Armed Services Finance,334,"Armed Services Finance Ltd    ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
192,6672,21,Close Consumer Finance - TIL,350,"Close Motor Finance Ltd       ",NULL,NULL,NULL,NULL,M,1,1,1,856,234767,NULL,NULL,665854,1,0,1
193,4119,56,Close Consumer Finance - Nene,029,"Close Motor Finance Ltd       ",NULL,NULL,NULL,NULL,M,1,1,1,856,234692,NULL,NULL,665854,1,0,1
195,8591,95,"Close/Centor Finance ",111,"Close Motor Finance Ltd       ",NULL,NULL,NULL,NULL,M,1,0,0,856,69886,NULL,NULL,NULL,1,0,1
196,9004,30,NTL - BCM,NULL,NULL,45960198,CS,NULL,NULL,M,1,1,1,856,69886,NULL,NULL,665854,1,0,1
197,9004,49,NTL - NCC,NULL,NULL,45960200,CS,NULL,NULL,M,1,1,1,856,69886,NULL,NULL,665854,1,0,1
198,9004,82,NTL - VCL,NULL,NULL,45960217,CS,NULL,NULL,M,1,1,1,856,69886,NULL,NULL,665854,1,0,1
199,9999,69,Share Amend Test Portfolio,NULL,NULL,NULL,NULL,NULL,NULL,M,0,0,0,970,23656,NULL,NULL,NULL,1,0,1
200,2428,01,"First National Tricity Finance                    ",060,"FIRSTNATIONAL                 ",NULL,NULL,NULL,NULL,M,1,0,0,23674,591788,NULL,NULL,591788,1,0,1
201,2525,01,Ikano,284,"IKANO                         ",NULL,NULL,NULL,NULL,M,1,0,0,23674,23674,NULL,NULL,646126,1,1,1
202,3027,58,Dudley Building Society,000,"DUDLEY B S                    ",NULL,NULL,NULL,NULL,M,1,0,0,23674,69886,NULL,NULL,NULL,1,0,1
203,3241,01,"V12 Personal Finance Limited                      ",068,"V12 PERSONAL FINANCE LIMITED  ",NULL,NULL,NULL,NULL,M,1,0,0,23674,1209413,NULL,NULL,1209413,1,0,1
204,3367,56,Furness Building Society,221,"FURNESS B S                   ",NULL,NULL,NULL,NULL,M,1,0,0,23674,69886,NULL,NULL,NULL,1,0,1
205,4123,65,Halifax Card Services,074,"HALIFAX CARD SERVICES         ",NULL,NULL,NULL,NULL,M,1,0,0,23674,244852,NULL,NULL,244852,1,1,1
206,4123,77,Halifax Charity,161,"HALIFAX CHARITY               ",NULL,NULL,NULL,NULL,M,1,1,1,23674,234698,NULL,NULL,280354,1,0,1
207,4123,19,Halifax - Visa Classic,133,"HALIFAX VISA                  ",NULL,NULL,NULL,NULL,M,1,1,1,23674,234694,NULL,NULL,280354,1,0,1
208,4231,01,Marsden Building Society,NULL,NULL,76970213,MS,NULL,NULL,M,1,0,0,23674,69886,NULL,NULL,43089,1,0,1
209,4385,35,Alliance And Leicester plc - Mortgages,NULL,NULL,24240152,BF,NULL,NULL,M,1,0,0,23674,24739,NULL,NULL,120625,1,0,1
210,4385,89,Alliance And Leicester plc - Loans,122,"ALLIANCE AND LEICESTER        ",NULL,NULL,NULL,NULL,M,1,0,0,23674,23674,NULL,NULL,120625,1,0,1
211,4385,56,Alliance And Leicester plc - Current Accounts,208,"ALLIANCE & LEICESTER          ",NULL,NULL,NULL,NULL,M,1,0,1,23674,25201,NULL,NULL,904039,1,0,1
212,5834,39,American Express Credit Cards,096,"AMERICAN EXPRESS              ",NULL,NULL,NULL,NULL,M,1,0,0,23674,69886,NULL,NULL,646091,1,1,1
213,6781,01,CCJ,NULL,NULL,NULL,NULL,NULL,NULL," ",0,0,0,23808,23808,NULL,NULL,NULL,1,0,1
214,4581,01,CCJ,NULL,NULL,NULL,NULL,NULL,NULL," ",0,0,0,23808,23808,NULL,NULL,NULL,1,0,1
215,1109,01,CCJ,NULL,NULL,NULL,NULL,NULL,NULL," ",0,0,0,23808,23808,NULL,NULL,NULL,1,0,1
216,8164,01,BAI,NULL,NULL,NULL,NULL,NULL,NULL," ",0,0,0,23808,23808,NULL,NULL,NULL,1,0,1
217,8164,02,IVA,NULL,NULL,NULL,NULL,NULL,NULL," ",0,0,0,23808,23808,NULL,NULL,NULL,1,0,1
218,9999,02,Consumer Services Corrections,NULL,NULL,NULL,NULL,NULL,NULL," ",0,0,0,23808,23808,NULL,NULL,NULL,1,0,1
219,6415,42,Britannia,291,"BRITANNIA MORTGAGES           ",NULL,NULL,NULL,NULL,M,1,0,0,23827,364787,NULL,NULL,364787,1,0,1
220,9737,01,Equifax - Cifas,NULL,NULL,NULL,NULL,NULL,NULL," ",0,0,0,24689,24689,NULL,NULL,NULL,1,0,1
221,9169,01,Experian - Cifas,NULL,NULL,NULL,NULL,NULL,NULL," ",0,0,0,24689,24689,NULL,NULL,NULL,1,0,1
222,9999,03,Callcredit - Cifas,NULL,NULL,NULL,NULL,NULL,NULL," ",0,0,0,24689,24689,NULL,NULL,NULL,1,0,1
228,3252,01,"Natwest Bank (Res Mtg)                            ",125,"NATWEST HOME LOANS LTD        ",NULL,NULL,NULL,NULL,M,1,0,0,25309,1003272,NULL,NULL,1003272,1,0,1
229,3253,02,RBoS Mortgages,337,"RBOS (MORTGAGE)               ",NULL,NULL,NULL,NULL,M,1,0,0,25309,26946,NULL,NULL,132226,1,0,1
230,2948,97,J D WILLIAMS GROUP,030,"J D WILLIAMS GROUP            ",NULL,NULL,NULL,NULL,M,1,0,0,25309,69886,NULL,NULL,39245,1,0,1
231,4329,57,VW Financial Services,NULL,NULL,87630198,FN,NULL,NULL,M,1,0,0,25309,69886,NULL,NULL,NULL,1,0,1
232,5961,01,FIRSTPLUS Financial Group PLC,006,"FIRSTPLUS Financial Group PLC ",NULL,NULL,NULL,NULL,M,1,0,0,25309,69886,NULL,NULL,NULL,1,0,1
233,3251,01,RBoS Credit Direct,035,"RBoS(Credit Direct)           ",NULL,NULL,NULL,NULL,M,1,0,1,25309,26946,NULL,NULL,280354,1,0,1
235,3254,01,Nat West Bank,410,"NWB(Defaults)                 ",NULL,NULL,NULL,NULL,M,1,0,1,25309,34711,NULL,NULL,280354,1,0,1
236,3917,94,NROCK ASSET MANAGEMENT - LOANS,430,NROCK ASSET MANAGEMENT - LOANS,NULL,NULL,NULL,NULL,M,1,0,0,25309,439608,NULL,NULL,439608,1,0,1
237,3594,01,Principality Building Society,027,"PRINCIPALITY - MORTGAGES      ",NULL,NULL,NULL,NULL,M,1,0,0,25309,69886,NULL,NULL,NULL,1,0,1
238,8355,01,Redcats (Brands) Ltd,031,"EMPIRE STORES                 ",NULL,NULL,NULL,NULL,M,1,0,0,25309,1103713,NULL,NULL,NULL,1,0,1
239,8356,01,Redcats (Brands) Ltd trading as La Redoute,031,"LAREDOUTE                     ",NULL,NULL,NULL,NULL,M,1,0,0,25309,1103716,NULL,NULL,NULL,1,0,1
240,8357,01,Redcats (Brands) Ltd trading as Vertbaudet,031,"VERTBAUDET                    ",NULL,NULL,NULL,NULL,M,1,0,0,25309,1103718,NULL,NULL,NULL,1,0,1
241,8358,01,Movitex (UK) Ltd trading as Daxon,031,"MOVITEX                       ",NULL,NULL,NULL,NULL,M,1,0,0,25309,1103721,NULL,NULL,NULL,1,0,1
242,8359,01,Redcats (Brands) Ltd trading as The Store,031,"REDCATS                       ",NULL,NULL,NULL,NULL,M,1,0,0,25309,1103722,NULL,NULL,NULL,1,0,1
243,9321,92,Mortgage Express 2,137,"Mortgage Express 2            ",NULL,NULL,NULL,NULL,M,1,0,0,25309,799984,NULL,NULL,799984,1,0,1
244,4958,01,Style Financial Services,357,"STYLE CARD                    ",NULL,NULL,NULL,NULL,M,1,0,0,25309,26067,NULL,NULL,120625,1,0,1
245,4959,01,Direct Line Credit Cards,083,"DIRECT LINE CREDIT CARDS      ",NULL,NULL,NULL,NULL,M,1,0,0,25309,405428,NULL,NULL,64393,1,1,1
246,4960,01,Scottish Power Credit Cards,048,"SCOTTISH POWER                ",NULL,NULL,NULL,NULL,M,1,0,0,25309,405428,NULL,NULL,64393,1,1,1
247,4961,01,Shell Credit Cards,069,"SHELL CREDIT CARDS            ",NULL,NULL,NULL,NULL,M,1,1,1,25309,405428,NULL,NULL,665854,1,1,1
248,4962,01,"Tesco Bank                                        ",199,"TPF CREDIT CARDS              ",NULL,NULL,NULL,NULL,M,1,1,1,25309,925744,NULL,NULL,925744,1,1,1
249,4963,01,Universa Credit Cards,067,"UNIVERSA CREDIT CARDS         ",NULL,NULL,NULL,NULL,M,1,0,0,25309,405428,NULL,NULL,64393,1,1,1
250,4964,01,Virgin Credit Cards,216,"VIRGIN CREDIT CARDS           ",NULL,NULL,NULL,NULL,M,1,0,1,25309,69886,NULL,NULL,904018,1,0,1
251,4965,01,RBS CARDS (MINT),355,ROYAL BANK OF SCOTLAND ADVANTA,NULL,NULL,NULL,NULL,M,1,0,0,25309,405428,NULL,NULL,64393,1,1,1
252,4966,01,RBS Credit Cards,077,"ROYAL BANK OF SCOTLAND        ",NULL,NULL,NULL,NULL,M,1,0,0,25309,405428,NULL,NULL,64393,1,1,1
253,4967,01,National Westminster Credit Cards,271,"NATIONAL WESTMINSTER BANK     ",NULL,NULL,NULL,NULL,M,1,0,0,25309,405428,NULL,NULL,64393,1,1,1
254,4968,01,Ulster Bank Credit Cards,267,"ULSTER BANK                   ",NULL,NULL,NULL,NULL,M,1,0,0,25309,405428,NULL,NULL,64393,1,1,1
255,4969,01,Lombard Direct,252,"LOMBARD DIRECT CREDIT CARD    ",NULL,NULL,NULL,NULL,M,1,0,0,25309,405428,NULL,NULL,64393,1,1,1
256,4970,01,RBS Norwich Union,349,"NORWICH UNION MASTERCARD      ",NULL,NULL,NULL,NULL,M,1,0,0,25309,405428,NULL,NULL,278967,1,1,1
257,8424,01,Accord Mortgages,NULL,NULL,24956601,MS,NULL,NULL,M,1,0,0,25309,69886,NULL,NULL,39245,1,0,1
258,4371,01,Amber Homeloans,050,"Amber Homeloans               ",NULL,NULL,NULL,NULL,M,1,0,0,25309,69886,NULL,NULL,701704,1,0,1
259,4271,01,Skipton Mortgages,443,"Skipton Mortgages             ",NULL,NULL,NULL,NULL,M,1,0,0,25309,69886,NULL,NULL,701696,1,0,1
261,7928,19,Ford Financial,174,"FCE BANK PLC                  ",NULL,NULL,NULL,NULL,M,1,0,0,25465,69886,NULL,NULL,45419,1,0,1
262,6378,01,Starloans (Burts (Hull) Ltd),999,"Starloans                     ",NULL,NULL,NULL,NULL,M,0,0,1,25465,25465,NULL,NULL,62060,1,0,1
263,1938,01,BOS Mastercard,431,"BANK OF SCOTLAND CREDIT CARDS ",NULL,NULL,NULL,NULL,M,1,0,0,25927,244852,NULL,NULL,244852,1,1,1
